window,method,date,ret
develop_validate,baseline,2011-10-03,-0.00139187
develop_validate,baseline,2011-10-04,-0.00194295
develop_validate,baseline,2011-10-05,0.00363241
develop_validate,baseline,2011-10-06,0.00238403
develop_validate,baseline,2011-10-07,-0.00120846
develop_validate,baseline,2011-10-09,0.00024731
develop_validate,baseline,2011-10-10,0.00378635
develop_validate,baseline,2011-10-11,0.00260281
develop_validate,baseline,2011-10-12,-8.564e-05
develop_validate,baseline,2011-10-13,0.00063525
develop_validate,baseline,2011-10-14,0.00267183
develop_validate,baseline,2011-10-16,0.00032307
develop_validate,baseline,2011-10-17,-0.0013987
develop_validate,baseline,2011-10-18,-0.00033196
develop_validate,baseline,2011-10-19,-0.00101109
develop_validate,baseline,2011-10-20,-0.00083038
develop_validate,baseline,2011-10-21,0.0034905
develop_validate,baseline,2011-10-23,0.0002742
develop_validate,baseline,2011-10-24,0.00257515
develop_validate,baseline,2011-10-25,0.00104416
develop_validate,baseline,2011-10-26,-0.00162307
develop_validate,baseline,2011-10-27,0.00511192
develop_validate,baseline,2011-10-28,0.00208431
develop_validate,baseline,2011-10-30,1.445e-05
develop_validate,baseline,2011-10-31,-0.00363836
develop_validate,baseline,2011-11-01,-0.00401836
develop_validate,baseline,2011-11-02,0.00081803
develop_validate,baseline,2011-11-03,0.00192694
develop_validate,baseline,2011-11-04,0.00032005
develop_validate,baseline,2011-11-06,2.752e-05
develop_validate,baseline,2011-11-07,0.00058058
develop_validate,baseline,2011-11-08,0.00220286
develop_validate,baseline,2011-11-09,-0.00571282
develop_validate,baseline,2011-11-10,-0.00167858
develop_validate,baseline,2011-11-11,0.0028716
develop_validate,baseline,2011-11-13,0.00059008
develop_validate,baseline,2011-11-14,-0.00188728
develop_validate,baseline,2011-11-15,5.447e-05
develop_validate,baseline,2011-11-16,-0.00137279
develop_validate,baseline,2011-11-17,-0.00463707
develop_validate,baseline,2011-11-18,-0.00091142
develop_validate,baseline,2011-11-20,-0.000181
develop_validate,baseline,2011-11-21,-0.00273697
develop_validate,baseline,2011-11-22,0.00050632
develop_validate,baseline,2011-11-23,-0.00374805
develop_validate,baseline,2011-11-24,-0.00029431
develop_validate,baseline,2011-11-25,-0.00234972
develop_validate,baseline,2011-11-27,0.00031204
develop_validate,baseline,2011-11-28,0.00325786
develop_validate,baseline,2011-11-29,0.00237906
develop_validate,baseline,2011-11-30,0.00386882
develop_validate,baseline,2011-12-01,0.00173248
